club_name,season,Goals,Goals Conceded,Shots,Shots On Target,Passes
Arsenal,2022/2023,88,43,408,204,20448
Aston Villa,2022/2023,51,46,302,151,15940
Bournemouth,2022/2023,37,71,266,133,13939
Brentford,2022/2023,58,46,324,162,13920
Brighton and Hove Albion,2022/2023,72,53,464,232,21280
Chelsea,2022/2023,38,47,318,159,21149
Crystal Palace,2022/2023,40,49,272,136,15707
Everton,2022/2023,34,57,304,152,14152
Fulham,2022/2023,55,53,298,149,16196
Leeds United,2022/2023,48,78,290,145,15161
Leicester City,2022/2023,51,68,304,152,17365
Liverpool,2022/2023,75,47,424,212,22401
Manchester City,2022/2023,94,33,438,219,25072
Manchester United,2022/2023,58,43,430,215,19085
Newcastle United,2022/2023,68,33,571,197,12839
Nottingham Forest,2022/2023,38,68,236,118,12104
Southampton,2022/2023,36,73,284,142,14796
Tottenham Hotspur,2022/2023,70,63,398,199,18042
West Ham United,2022/2023,42,55,290,145,14638
Wolverhampton Wanderers,2022/2023,31,58,252,126,16712
Arsenal,2019/2020,56,48,302,151,18649
Aston Villa,2019/2020,41,67,300,150,13834
Bournemouth,2019/2020,40,65,244,122,14700
Brighton and Hove Albion,2019/2020,39,54,286,143,18208
Burnley,2019/2020,45,68,232,116,13011
Chelsea,2019/2020,69,54,446,223,23245
Crystal Palace,2019/2020,31,50,240,120,14711
Everton,2019/2020,44,56,324,162,15825
Leicester City,2019/2020,67,41,382,191,19915
Liverpool,2019/2020,85,33,464,232,23872
Manchester City,2019/2020,102,35,532,266,26330
Manchester United,2019/2020,66,36,432,216,20059
Newcastle United,2019/2020,38,58,266,133,13066
Norwich City,2019/2020,26,75,262,131,17363
Sheffield United,2019/2020,39,39,228,114,14922
Southampton,2019/2020,51,60,362,181,15672
Tottenham Hotspur,2019/2020,61,47,320,160,18643
Watford,2019/2020,36,64,244,122,14066
West Ham United,2019/2020,49,62,326,163,15101
Wolverhampton Wanderers,2019/2020,51,40,296,148,16766
Arsenal,2024/2025,69,34,376,188,18619
Aston Villa,2024/2025,58,51,340,170,16508
Bournemouth,2024/2025,58,46,404,202,15154
Brentford,2024/2025,66,57,368,184,15632
Brighton and Hove Albion,2024/2025,66,59,382,191,17704
Chelsea,2024/2025,64,43,436,218,19796
Crystal Palace,2024/2025,51,51,372,186,14340
Everton,2024/2025,42,44,288,144,13351
Fulham,2024/2025,54,54,346,173,18013
Ipswich Town,2024/2025,36,82,254,127,13462
Leicester City,2024/2025,33,80,222,111,15960
Liverpool,2024/2025,86,41,462,231,20108
Manchester City,2024/2025,72,44,434,217,22973
Manchester United,2024/2025,44,54,350,175,18922
Newcastle United,2024/2025,68,47,350,175,17172
Nottingham Forest,2024/2025,58,46,332,166,12956
Southampton,2024/2025,26,86,222,111,17299
Tottenham Hotspur,2024/2025,64,65,370,185,18248
West Ham United,2024/2025,46,62,292,146,16891
Wolverhampton Wanderers,2024/2025,54,69,320,160,16402
Arsenal,2021/2022,61,48,396,198,18290
Aston Villa,2021/2022,52,54,324,162,14885
Brentford,2021/2022,48,56,310,155,14604
Brighton and Hove Albion,2021/2022,42,44,304,152,18835
Burnley,2021/2022,34,53,250,125,12322
Chelsea,2021/2022,76,33,422,211,23178
Crystal Palace,2021/2022,50,46,294,147,17309
Everton,2021/2022,43,66,276,138,12944
Leeds United,2021/2022,42,79,308,154,16503
Leicester City,2021/2022,62,59,338,169,18578
Liverpool,2021/2022,94,26,512,256,23588
Manchester City,2021/2022,99,26,508,254,26132
Manchester United,2021/2022,57,57,374,187,19035
Newcastle United,2021/2022,44,62,298,149,12503
Norwich City,2021/2022,23,84,218,109,14466
Southampton,2021/2022,43,67,340,170,15289
Tottenham Hotspur,2021/2022,69,40,396,198,19165
Watford,2021/2022,34,77,254,127,13047
West Ham United,2021/2022,60,51,314,157,16580
Wolverhampton Wanderers,2021/2022,38,43,272,136,17517
Arsenal,2020/2021,55,39,304,152,20126
Aston Villa,2020/2021,55,46,372,186,15191
Brighton and Hove Albion,2020/2021,40,46,286,143,18185
Burnley,2020/2021,33,55,260,130,13846
Chelsea,2020/2021,58,36,420,210,24071
Crystal Palace,2020/2021,41,66,264,132,14067
Everton,2020/2021,47,48,296,148,17129
Fulham,2020/2021,27,53,272,136,17796
Leeds United,2020/2021,62,54,398,199,18652
Leicester City,2020/2021,68,50,370,185,19577
Liverpool,2020/2021,68,42,428,214,24292
Manchester City,2020/2021,83,32,436,218,25651
Manchester United,2020/2021,73,44,426,213,20995
Newcastle United,2020/2021,46,62,284,142,13116
Sheffield United,2020/2021,20,63,198,99,14647
Southampton,2020/2021,47,68,336,168,17689
Tottenham Hotspur,2020/2021,68,45,352,176,19070
West Bromwich Albion,2020/2021,35,76,224,112,12388
West Ham United,2020/2021,62,47,330,165,15152
Wolverhampton Wanderers,2020/2021,36,52,405,165,11490
Arsenal,2023/2024,91,29,456,228,21052
Aston Villa,2023/2024,76,61,382,191,17876
Bournemouth,2023/2024,54,67,370,185,14204
Brentford,2023/2024,56,65,344,172,15223
Brighton and Hove Albion,2023/2024,55,62,416,208,23547
Burnley,2023/2024,41,78,284,142,16447
Chelsea,2023/2024,77,63,430,215,21926
Crystal Palace,2023/2024,57,58,338,169,15261
Everton,2023/2024,40,51,324,162,13764
Fulham,2023/2024,55,61,360,180,18587
Liverpool,2023/2024,86,41,554,277,22515
Luton Town,2023/2024,52,85,282,141,13337
Manchester City,2023/2024,96,34,556,278,26251
Manchester United,2023/2024,57,58,386,193,18071
Newcastle United,2023/2024,85,62,426,213,18231
Nottingham Forest,2023/2024,49,67,296,148,14177
Sheffield United,2023/2024,35,104,258,129,12230
Tottenham Hotspur,2023/2024,74,61,430,215,22496
West Ham United,2023/2024,60,74,308,154,14732
Wolverhampton Wanderers,2023/2024,50,65,320,160,17636
