club_name,season,Goals,Goals Conceded,Shots,Shots On Target,Passes
Arsenal,2018/2019,73,51,340,170,20804
Bournemouth,2018/2019,56,70,326,163,15947
Brighton and Hove Albion,2018/2019,35,60,216,108,14109
Burnley,2018/2019,45,68,232,116,13011
Cardiff City,2018/2019,34,69,252,126,10227
Chelsea,2018/2019,63,39,396,198,25071
Crystal Palace,2018/2019,51,53,296,148,15243
Everton,2018/2019,54,46,338,169,16494
Fulham,2018/2019,34,81,292,146,17699
Huddersfield Town,2018/2019,22,76,236,118,15897
Leicester City,2018/2019,51,48,368,184,17219
Liverpool,2018/2019,89,22,452,226,23636
Manchester City,2018/2019,95,23,520,260,26580
Manchester United,2018/2019,65,54,450,225,19202
Newcastle United,2018/2019,42,48,284,142,13491
Southampton,2018/2019,45,65,324,162,14297
Tottenham Hotspur,2018/2019,67,39,380,190,21294
Watford,2018/2019,52,59,304,152,15458
West Ham United,2018/2019,52,55,314,157,16357
Wolverhampton Wanderers,2018/2019,47,46,304,152,16618
Arsenal,2023/2024,91,29,456,228,21052
Aston Villa,2023/2024,76,61,382,191,17876
Bournemouth,2023/2024,54,67,370,185,14204
Brentford,2023/2024,56,65,344,172,15223
Brighton and Hove Albion,2023/2024,55,62,416,208,23547
Burnley,2023/2024,41,78,284,142,16447
Chelsea,2023/2024,77,63,430,215,21926
Crystal Palace,2023/2024,57,58,338,169,15261
Everton,2023/2024,40,51,324,162,13764
Fulham,2023/2024,55,61,360,180,18587
Liverpool,2023/2024,86,41,554,277,22515
Luton Town,2023/2024,52,85,282,141,13337
Manchester City,2023/2024,96,34,556,278,26251
Manchester United,2023/2024,57,58,386,193,18071
Newcastle United,2023/2024,85,62,426,213,18231
Nottingham Forest,2023/2024,49,67,296,148,14177
Sheffield United,2023/2024,35,104,258,129,12230
Tottenham Hotspur,2023/2024,74,61,430,215,22496
West Ham United,2023/2024,60,74,308,154,14732
Wolverhampton Wanderers,2023/2024,50,65,320,160,17636
Arsenal,2016/2017,77,44,402,201,21392
Bournemouth,2016/2017,55,67,320,160,17145
Burnley,2016/2017,39,55,240,120,12559
Chelsea,2016/2017,85,33,408,204,20125
Crystal Palace,2016/2017,50,63,276,138,13543
Everton,2016/2017,62,44,382,191,17584
Hull City,2016/2017,37,80,252,126,15610
Leicester City,2016/2017,48,63,290,145,13674
Liverpool,2016/2017,78,42,472,236,22283
Manchester City,2016/2017,80,39,432,216,22705
Manchester United,2016/2017,54,29,420,210,20247
Middlesbrough,2016/2017,27,53,200,100,15736
Southampton,2016/2017,41,48,358,179,18240
Stoke City,2016/2017,41,56,274,137,14558
Sunderland,2016/2017,29,69,238,119,12360
Swansea City,2016/2017,45,70,290,145,16125
Tottenham Hotspur,2016/2017,86,26,514,257,20153
Watford,2016/2017,40,68,286,143,14049
West Bromwich Albion,2016/2017,35,76,224,112,12388
West Ham United,2016/2017,47,64,276,138,15134
Arsenal,2020/2021,55,39,304,152,20126
Aston Villa,2020/2021,55,46,372,186,15191
Brighton and Hove Albion,2020/2021,40,46,286,143,18185
Burnley,2020/2021,33,55,260,130,13846
Chelsea,2020/2021,58,36,420,210,24071
Crystal Palace,2020/2021,41,66,264,132,14067
Everton,2020/2021,47,48,296,148,17129
Fulham,2020/2021,27,53,272,136,17796
Leeds United,2020/2021,62,54,398,199,18652
Leicester City,2020/2021,68,50,370,185,19577
Liverpool,2020/2021,68,42,428,214,24292
Manchester City,2020/2021,83,32,436,218,25651
Manchester United,2020/2021,73,44,426,213,20995
Newcastle United,2020/2021,46,62,284,142,13116
Sheffield United,2020/2021,20,63,198,99,14647
Southampton,2020/2021,47,68,336,168,17689
Tottenham Hotspur,2020/2021,68,45,352,176,19070
